Rank,Player,Wins,Losses,yElo
98,Zhizhen Zhang (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ZhizhenZhang),4,7,1640.7
99,Arthur Cazaux (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ArthurCazaux),5,6,1639.3
100,Filip Misolic (https://www.tennisabstract.com/cgi-bin/player.cgi?p=FilipMisolic),8,3,1636.4
101,Billy Harris (https://www.tennisabstract.com/cgi-bin/player.cgi?p=BillyHarris),13,10,1635.7
102,Elias Ymer (https://www.tennisabstract.com/cgi-bin/player.cgi?p=EliasYmer),6,2,1627.3
103,Gonzalo Bueno (https://www.tennisabstract.com/cgi-bin/player.cgi?p=GonzaloBueno),6,2,1627.2
104,Tristan Schoolkate (https://www.tennisabstract.com/cgi-bin/player.cgi?p=TristanSchoolkate),12,7,1626.9
105,Damir Dzumhur (https://www.tennisabstract.com/cgi-bin/player.cgi?p=DamirDzumhur),7,7,1625.7
106,Alexis Galarneau (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexisGalarneau),13,9,1623.7
107,Karen Khachanov (https://www.tennisabstract.com/cgi-bin/player.cgi?p=KarenKhachanov),3,5,1622
108,Yannick Hanfmann (https://www.tennisabstract.com/cgi-bin/player.cgi?p=YannickHanfmann),6,5,1618.8
109,Sebastian Korda (https://www.tennisabstract.com/cgi-bin/player.cgi?p=SebastianKorda),3,3,1615.9
110,Nicolai Budkov Kjaer (https://www.tennisabstract.com/cgi-bin/player.cgi?p=NicolaiBudkovKjaer),5,4,1611.9
111,Manuel Guinard (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ManuelGuinard),3,4,1605.5
112,Shintaro Mochizuki (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ShintaroMochizuki),14,6,1605.2
113,Alexander Blockx (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderBlockx),8,5,1603.9
114,Roberto Carballes Baena (https://www.tennisabstract.com/cgi-bin/player.cgi?p=RobertoCarballesBaena),5,7,1603.5
115,Pierre Hugues Herbert (https://www.tennisabstract.com/cgi-bin/player.cgi?p=PierreHuguesHerbert),7,5,1601.6
116,Benjamin Bonzi (https://www.tennisabstract.com/cgi-bin/player.cgi?p=BenjaminBonzi),7,6,1601.2
117,Thiago Monteiro (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ThiagoMonteiro),5,6,1600.2
118,Jan Lennard Struff (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JanLennardStruff),3,6,1599.8
119,Lukas Klein (https://www.tennisabstract.com/cgi-bin/player.cgi?p=LukasKlein),7,6,1597.9
120,Daniel Rincon (https://www.tennisabstract.com/cgi-bin/player.cgi?p=DanielRincon),9,5,1595.7
121,Vit Kopriva (https://www.tennisabstract.com/cgi-bin/player.cgi?p=VitKopriva),9,5,1595.1
122,Chun Hsin Tseng (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ChunHsinTseng),5,5,1593.7
123,Juan Manuel Cerundolo (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JuanManuelCerundolo),8,7,1593.5
124,Dino Prizmic (https://www.tennisabstract.com/cgi-bin/player.cgi?p=DinoPrizmic),5,3,1593
125,Juan Pablo Varillas (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JuanPabloVarillas),6,2,1592.7
126,Titouan Droguet (https://www.tennisabstract.com/cgi-bin/player.cgi?p=TitouanDroguet),5,3,1589.3
127,Marc Andrea Huesler (https://www.tennisabstract.com/cgi-bin/player.cgi?p=MarcAndreaHuesler),3,3,1588.9
128,Khumoun Sultanov (https://www.tennisabstract.com/cgi-bin/player.cgi?p=KhumounSultanov),7,5,1587.9
129,Botic Van De Zandschulp (https://www.tennisabstract.com/cgi-bin/player.cgi?p=BoticVanDeZandschulp),3,7,1584.2
130,Tristan Boyer (https://www.tennisabstract.com/cgi-bin/player.cgi?p=TristanBoyer),5,4,1583.4
131,Facundo Mena (https://www.tennisabstract.com/cgi-bin/player.cgi?p=FacundoMena),5,4,1581.3
132,Federico Coria (https://www.tennisabstract.com/cgi-bin/player.cgi?p=FedericoCoria),8,8,1581.3
133,Christopher Eubanks (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ChristopherEubanks),7,7,1580.7
134,Aleksandar Vukic (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AleksandarVukic),4,6,1580.7
135,Henrique Rocha (https://www.tennisabstract.com/cgi-bin/player.cgi?p=HenriqueRocha),7,4,1579
136,Duje Ajdukovic (https://www.tennisabstract.com/cgi-bin/player.cgi?p=DujeAjdukovic),5,4,1578.4
137,James Trotter (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JamesTrotter),6,5,1578.2
138,James Mccabe (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JamesMccabe),11,8,1577.9
139,Constant Lestienne (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ConstantLestienne),11,7,1577.3
140,Aslan Karatsev (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AslanKaratsev),7,3,1577.3
141,Javier Barranco Cosano (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JavierBarrancoCosano),4,3,1576.1
142,Sascha Gueymard Wayenburg (https://www.tennisabstract.com/cgi-bin/player.cgi?p=SaschaGueymardWayenburg),6,3,1573.2
143,Nicolas Jarry (https://www.tennisabstract.com/cgi-bin/player.cgi?p=NicolasJarry),3,5,1570.7
144,Valentin Vacherot (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ValentinVacherot),8,6,1570
145,Bu Yunchaokete (https://www.tennisabstract.com/cgi-bin/player.cgi?p=BuYunchaokete),3,8,1569.8
146,Corentin Moutet (https://www.tennisabstract.com/cgi-bin/player.cgi?p=CorentinMoutet),3,4,1566.9
147,Tomas Barrios Vera (https://www.tennisabstract.com/cgi-bin/player.cgi?p=TomasBarriosVera),7,6,1564.9
148,Jason Kubler (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JasonKubler),5,4,1564.7
149,Johannus Monday (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JohannusMonday),5,3,1564.6
150,Gauthier Onclin (https://www.tennisabstract.com/cgi-bin/player.cgi?p=GauthierOnclin),3,3,1563.7
151,Juan Pablo Ficovich (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JuanPabloFicovich),7,7,1563.2
152,J J Wolf (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JJWolf),4,3,1562.9
153,Hugo Grenier (https://www.tennisabstract.com/cgi-bin/player.cgi?p=HugoGrenier),9,8,1562.1
154,Gustavo Heide (https://www.tennisabstract.com/cgi-bin/player.cgi?p=GustavoHeide),6,7,1561.3
155,Anton Matusevich (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AntonMatusevich),3,1,1560.6
156,Omar Jasika (https://www.tennisabstract.com/cgi-bin/player.cgi?p=OmarJasika),6,3,1556.9
157,Kimmer Coppejans (https://www.tennisabstract.com/cgi-bin/player.cgi?p=KimmerCoppejans),5,3,1554.7
158,Facundo Diaz Acosta (https://www.tennisabstract.com/cgi-bin/player.cgi?p=FacundoDiazAcosta),4,6,1554.5
159,Alexander Shevchenko (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderShevchenko),3,7,1553.9
160,Dominik Koepfer (https://www.tennisabstract.com/cgi-bin/player.cgi?p=DominikKoepfer),7,6,1553.9
